id,title,eng_title,artist,series,min_bpm,max_bpm,license
1,Baby Dance,,Ruby Tuesday,1ST TRACKS,,111.0,
2,Catch The Flow,,Creatune,1ST TRACKS,,97.0,
3,Confete,,Ruby Tuesday,1ST TRACKS,,94.0,
4,Dirty D,,Ruby Tuesday,1ST TRACKS,,100.0,
5,Do You Remember?,,Ruby Tuesday,1ST TRACKS,,139.0,
6,Envy Mask,,"Creatune, Mario Bolden",1ST TRACKS,,118.0,
7,Freedom,,Ruby Tuesday,1ST TRACKS,,93.0,
8,Funny Funky,,Creatune,1ST TRACKS,,92.0,
9,Get The Beat,,DJ.Hong,1ST TRACKS,,95.0,
10,I Do Love You,,"Jeon Jun-Kyu, Creatune",1ST TRACKS,,100.0,
11,I've Fallen,,Ruby Tuesday,1ST TRACKS,,122.0,
12,Let it Go,,Ruby Tuesday,1ST TRACKS,,109.0,
13,Look Out,,Ruby Tuesday,1ST TRACKS,,125.0,
14,Minus 1,,DJ Danmal-G,1ST TRACKS,100.0,130.0,
15,Mystic Dream 9903,,Danmal-G,1ST TRACKS,,150.0,
16,Quake in Kyoto,,Ruby Tuesday,1ST TRACKS,,148.0,
17,Southwest Cadillac,,Jeon Jun-Kyu,1ST TRACKS,,95.0,
18,Stay,,Jeon Jun-Kyu,1ST TRACKS,,125.0,
19,The Rhythm,,Nextune,1ST TRACKS,67.5,135.0,
20,Yes Yes,,Creatune,1ST TRACKS,,98.0,
21,You Love The Life You Live,,Ruby Tuesday,1ST TRACKS,,90.0,
22,Ztar Warz,,DJ.Melong,1ST TRACKS,,180.0,
23,Combination,,Kim Jin Kwon,S/E,,115.0,
24,Confete (Evening Mix),,Itdie,S/E,,94.0,
25,DIEOXIN,,DJ.Yonda,S/E,,165.0,
26,Do You Remember? (Remix),,Remix Station,S/E,,139.0,
27,Get The Beat (Nimble Mix),,DJ.Hong,S/E,95.0,95.5,
28,Let it Go (Remix),,Remix Station,S/E,,109.0,
29,Mystic Dream 9903 (Horror Mix),,Danmal-G,S/E,37.5,170.0,
30,Quake In Kyoto (Mega Mix),,xxdbxx,S/E,,148.0,
31,R.D.M,,Andy Lee,S/E,,110.0,
32,Red Hot,,Dr.Yonda,S/E,,100.0,
33,Special K,,Andy Lee,S/E,,95.0,
34,Stay (Radio Edit),,Itdie,S/E,,125.0,
35,The Future,,Remix Station,S/E,,146.0,
36,You Love The Life You Live (Remix),,Itdie,S/E,,90.0,
37,Anytime,,Ruby Tuesday,2ND TRAX,,162.0,
38,Appeal,,"Andy Lee, Jennifer",2ND TRAX,,110.0,
39,Back For More,,Ruby Tuesday,2ND TRAX,,130.0,
40,Back To Bed,,Ruby Tuesday,2ND TRAX,,118.0,
41,Be My Baby,,Ruby Tuesday,2ND TRAX,,115.0,
42,Changa,,Andy Lee,2ND TRAX,90.0,122.0,
43,Damnation,,Ruby Tuesday,2ND TRAX,,152.0,
44,Departure,,Jenny,2ND TRAX,,133.4,
45,Exist,,Kim Seung Hyun,2ND TRAX,,114.0,
46,Funky 5,,Kim Seung Hyun,2ND TRAX,,116.0,
47,Get it Up,,"Lee Jong-Pil, Mario Bolden",2ND TRAX,,135.0,
48,Hypnotize,,Ruby Tuesday,2ND TRAX,,138.0,
49,It's My Secret,,Mario Bolden,2ND TRAX,,121.1,
50,I've Got This Feeling,,Ruby Tuesday,2ND TRAX,,88.0,
51,JAM,,Ruby Tuesday,2ND TRAX,,124.0,
52,Minus 1 (Space Mix),,Croove,2ND TRAX,,140.0,
53,Moving On,,Ruby Tuesday,2ND TRAX,,90.05,
54,Red Ocean,,xxdbxx,2ND TRAX,,106.0,
55,Say That U,,Ruby Tuesday,2ND TRAX,,146.0,
56,Seize The Day,,Ruby Tuesday,2ND TRAX,,120.0,
57,Sentimental No! No!,,Ruby Tuesday,2ND TRAX,,108.0,
58,Showdown,,Andy Lee,2ND TRAX,,130.0,
59,The Boy,,Ruby Tuesday,2ND TRAX,,115.01,
60,We Luv Music,,Jeon Jun-Kyu,2ND TRAX,,139.0,
61,Where's My Girl,,Ruby Tuesday,2ND TRAX,,180.0,
62,With U Girl,,Yang Jun-Hyek,2ND TRAX,,142.9,
63,You Are The One For Me,,"Jeon Jun-Kyu, Mario Bolden",2ND TRAX,,116.0,
64,20000000000,,Croove,3RD TRAX,,174.0,
65,2.14,,FE,3RD TRAX,,113.0,
66,2nd Jewel,,Andy Lee,3RD TRAX,,120.0,
67,Anemia,,Andy Lee,3RD TRAX,,100.0,
68,Black Market,,Croove,3RD TRAX,,116.0,
69,Cosmic Bird,,"FE, Croove",3RD TRAX,37.5,150.0,
70,Give It 2 Me,,FE,3RD TRAX,,133.0,
71,In a Nutshell,,Ruby Tuesday,3RD TRAX,,137.0,
72,Lie Lie,,Andy Lee,3RD TRAX,,125.0,
73,Minus 2,,Croove,3RD TRAX,,157.0,
74,M Police,,Andy Lee,3RD TRAX,,135.0,
75,Night Watcher,,xxdbxx,3RD TRAX,,165.0,
76,R.F.C.,,Andy Lee,3RD TRAX,,140.0,
77,Sand Storm,,Croove,3RD TRAX,,164.0,
78,Shake,,Andy Lee,3RD TRAX,,120.0,
79,Smash,,Andy Lee,3RD TRAX,,100.0,
80,Sparrow,,"xxdbxx, Croove",3RD TRAX,,132.0,
81,Substance,,xxdbxx,3RD TRAX,,142.0,
82,The 3rd Place,,xxdbxx,3RD TRAX,,130.0,
83,Y-Gate,,Lee Jong-Pil,3RD TRAX,,144.0,
84,Aquaris,,Croove,4TH TRAX,,140.0,
85,Blue,,xxdbxx,4TH TRAX,,153.0,
86,B.O.W,,Croove,4TH TRAX,125.0,150.0,
87,Calling Me Now,,xxdbxx,4TH TRAX,,80.0,
88,Climax,,Andy Lee,4TH TRAX,,140.0,
89,Complex,,Croove,4TH TRAX,,123.0,
90,Delight,,Andy Lee,4TH TRAX,,130.0,
91,Eye of Beholder,,xxdbxx,4TH TRAX,,121.0,
92,Feel So Sad,,xxdbxx,4TH TRAX,,142.0,
93,Fire Storm,,Croove,4TH TRAX,,167.0,
94,Futurist,,Andy Lee,4TH TRAX,,123.0,
95,Go!,,Andy Lee,4TH TRAX,,140.0,
96,JMJ,,Croove,4TH TRAX,,135.0,
97,Judgment,,Andy Lee,4TH TRAX,,117.0,
98,Lovely Day,,Andy Lee,4TH TRAX,,140.0,
99,Mad Robot,,Croove,4TH TRAX,,115.0,
100,Metagalactic,,xxdbxx,4TH TRAX,,152.0,
101,Ready to Yah,,xxdbxx,4TH TRAX,,120.0,
102,Shout,,Croove,4TH TRAX,,95.0,
103,Tokyo 9 P.M.,,Andy Lee,4TH TRAX,,100.0,
104,Any Way You Want It,,Eridanus,PLATINUM,,105.0,
105,Aquaris (Physical Inspiration Hyper Blue Mix),,Forte Escape,PLATINUM,,160.0,
106,Cellavue,,Eridanus,PLATINUM,,108.0,
107,느낌,Feel,"Kang Eun Soo, Eridanus",PLATINUM,,125.0,
108,I've Fallen (Hot Dog Boogie Groove Mix),,Forte Escape,PLATINUM,,122.0,
109,I've Got This Feeling (DJ FE Restless Acid Soul Mix),,Forte Escape,PLATINUM,,123.0,
110,JMJ (DFC Space Gear Re-Formation),,Forte Escape,PLATINUM,,130.0,
111,Memories,,Forte Escape,PLATINUM,,127.0,
112,Night Madness,,Joyrock,PLATINUM,,160.0,
113,Panic Strike,,Forte Escape,PLATINUM,,160.0,
114,Q Factor,,Forte Escape,PLATINUM,,130.0,
115,Riff Guy,,Eridanus,PLATINUM,,153.0,
116,Spotlight,,Forte Escape,PLATINUM,,100.0,
117,Unknown H2,,DJ Bigduck,PLATINUM,,85.0,
118,Weird Wave,,Joyrock,PLATINUM,,147.0,
119,Zeroize,,Forte Escape,PLATINUM,,165.0,
120,Baby Dance (Club Ver),,Itdie,6TH TRAX,,150.0,
121,Bacardi on the Beach,,Sonic A.P.E,6TH TRAX,,123.0,
122,Be My Baby (Funky Ver),,Itdie,6TH TRAX,,115.0,
123,Be-at Feedback,,B-E,6TH TRAX,,140.0,
124,Be Mine,,TY : F,6TH TRAX,,128.0,
125,Changa II,,Han Tae Soo,6TH TRAX,,128.0,
126,Curse It!,,Han Tae Soo,6TH TRAX,,113.1,
127,Dance Machine,,Sonic A.P.E,6TH TRAX,,150.0,
128,Dance With Me,,Kim Min,6TH TRAX,,125.0,
129,느낌 (Sonic A.P.E Ver),Feel (Sonic A.P.E Ver),Sonic A.P.E,6TH TRAX,,135.0,
130,Frantic,,Sonic A.P.E,6TH TRAX,,145.0,
131,Get The Beat (Party Mix),,Itdie,6TH TRAX,,95.0,
132,I've Got This Feeling (Extended Ver),,Itdie,6TH TRAX,,115.0,
133,JAM (A.C Ver),,Itdie,6TH TRAX,,140.0,
134,Lie Lie (Ceave Beat Ver),,Itdie,6TH TRAX,,145.0,
135,Look Out (EK1-Beat Ver),,Itdie,6TH TRAX,,145.0,
136,Move Your Body,,Sean Kim,6TH TRAX,,126.0,
137,One Two Three Four,,Sonic A.P.E,6TH TRAX,,100.0,
138,Refresh,,Kim Min,6TH TRAX,,125.0,
139,Stay With Me,,Han Tae Soo,6TH TRAX,,115.11,
140,The Boy (EK2-Beat Ver),,Itdie,6TH TRAX,,140.0,
141,Up And Down,,Soulzean,6TH TRAX,,96.0,
142,With U Girl (Beach Ver),,Itdie,6TH TRAX,,143.0,
143,You were The one,,Kim Min,6TH TRAX,,110.0,
144,Your Style,,Dakick,6TH TRAX,,100.0,
145,Black Flame,,Transin,7TH TRAX,,125.0,
146,天地開闢,Cheonjigaebyuok,M2U,7TH TRAX,,150.0,
147,Dreamy Flight,,Transin,7TH TRAX,,140.0,
148,End of Summer,,Mhz,7TH TRAX,,120.0,
149,Energy Flower,,r300k,7TH TRAX,,133.0,
150,Explode Engine,,Transin,7TH TRAX,,130.0,
151,빛바랜영혼,Faded Spirit,Praya,7TH TRAX,,135.0,
152,Fallen Angel,,SpringHead,7TH TRAX,,100.0,
153,Fell Hound 3,,SpringHead,7TH TRAX,,140.0,
154,Forget,,Praya,7TH TRAX,,125.0,
155,G.O.A,,Curium,7TH TRAX,,144.0,
156,Gray Street,,M2U,7TH TRAX,,135.0,
157,KAFAT,,SpringHead,7TH TRAX,,123.0,
158,Legacy of Hatred,,CCNN,7TH TRAX,,190.0,
159,Let Me Hear Your Voice,,Transin,7TH TRAX,,140.0,
160,Magegirl Story,,Praya,7TH TRAX,,180.0,
161,Paradise,,M2U,7TH TRAX,,128.0,
162,Return,,Springhead,7TH TRAX,,140.0,
163,Revelation,,SpringHead,7TH TRAX,,185.0,
164,Round 3,,"Desired Effect, r300k",7TH TRAX,,155.0,
165,Silver Ocean,,Curium,7TH TRAX,,148.0,
166,Soul Destructor,,Transin,7TH TRAX,,140.0,
167,Soul Eater,,Springhead,7TH TRAX,,140.0,
168,Space Destiny,,M2U,7TH TRAX,,170.0,
169,Sunlight,,"Desired Effect, r300k",7TH TRAX,,140.0,
170,Sweet Heart,,M2U,7TH TRAX,,135.0,
171,The Back of Beyond,,M2U,7TH TRAX,,120.0,
172,The World,,r300k,7TH TRAX,,110.0,
173,To My Love,,TranceMAX,7TH TRAX,,140.0,
174,Toy War,,M2U,7TH TRAX,,160.0,
175,Unrequited Love 2,,CCNN,7TH TRAX,,141.0,
176,White Rose,,M2U,7TH TRAX,,128.0,
177,2nd Life,,yak_won,7TH 1.5-2.0,,130.0,
178,An Old Story,,Memme,7TH 1.5-2.0,,87.0,
179,Aura,,yak_won,7TH 1.5-2.0,,150.0,
180,Black Bird,,Infinity Poly,7TH 1.5-2.0,,115.0,
181,Dance Machine (YK House Edit),,yak_won,7TH 1.5-2.0,,150.0,
182,Dance With Me (Dischord Edit),,yak_won,7TH 1.5-2.0,,125.0,
183,Don't Say Anything,,yak_won,7TH 1.5-2.0,,135.0,
184,Frantic(YK Edit),,yak_won,7TH 1.5-2.0,,145.0,
185,Gray Hunter,,Chaos,7TH 1.5-2.0,,125.0,
186,Holic,,SHK,7TH 1.5-2.0,,150.0,
187,Hyper Magic,,Memme,7TH 1.5-2.0,,170.0,
188,Legend of Moonlight,,Memme,7TH 1.5-2.0,,160.0,
189,Lucid,,yak_won,7TH 1.5-2.0,,175.0,
190,Never Feel This Way,,yak_won,7TH 1.5-2.0,,140.0,
191,One Two Three Four (SJ Remix),,IBIS,7TH 1.5-2.0,,100.0,
192,R.E.D.,,KIEN,7TH 1.5-2.0,,140.0,
193,R-Decision,,yak_won,7TH 1.5-2.0,,141.9,
194,Refresh (J-Style Edit),,yak_won,7TH 1.5-2.0,,125.0,
195,Sinus,,yak_won,7TH 1.5-2.0,,142.0,
